Resultados por comunidad aut󮯭a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de ense񡮺a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades: Nmero de estudiantes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;Ciencias Sociales y Jur_cas;;;;;;;Ingenier_y Arquitectura;;;;;;;Artes y Humanidades;;;;;;;Ciencias de la Salud;;;;;;;Ciencias;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
            Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;345835.0;340988.0;337105.0;337055.0;341995.0;358457.0;345108.0;164376.0;162124.0;162676.0;157764.0;160219.0;168944.0;159987.0;60300.0;58135.0;56874.0;58150.0;58508.0;59177.0;60456.0;37493.0;38192.0;36662.0;37992.0;39613.0;40942.0;37272.0;61461.0;60568.0;59528.0;61395.0;61743.0;66775.0;65793.0;22205.0;21969.0;21365.0;21754.0;21912.0;22619.0;21600.0
                Espa񡻳27316.0;321491.0;316101.0;314595.0;317414.0;333430.0;318622.0;156111.0;153527.0;153156.0;147654.0;148875.0;157721.0;148011.0;57398.0;54993.0;53391.0;54381.0;54253.0;54699.0;55673.0;35415.0;36027.0;34438.0;35661.0;37132.0;38310.0;34680.0;56862.0;55646.0;54487.0;55945.0;56062.0;60932.0;59548.0;21530.0;21298.0;20629.0;20954.0;21092.0;21768.0;20710.0;
                Uni󮠅uropea;7810.0;8527.0;8783.0;9242.0;9547.0;9569.0;9775.0;2870.0;3151.0;3421.0;3519.0;3743.0;3701.0;3776.0;814.0;903.0;938.0;985.0;1104.0;1032.0;1021.0;835.0;888.0;884.0;937.0;988.0;980.0;888.0;3009.0;3317.0;3267.0;3498.0;3421.0;3521.0;3793.0;282.0;268.0;273.0;303.0;291.0;335.0;297.0
                Resto de Europa;1568.0;1628.0;1707.0;1622.0;1674.0;1716.0;2070.0;798.0;811.0;860.0;802.0;835.0;875.0;969.0;226.0;274.0;306.0;296.0;302.0;286.0;362.0;226.0;226.0;212.0;190.0;175.0;197.0;263.0;250.0;253.0;262.0;254.0;293.0;298.0;395.0;68.0;64.0;67.0;80.0;69.0;60.0;81.0
                EEUU y Canadự93.0;181.0;269.0;311.0;330.0;331.0;378.0;94.0;89.0;120.0;175.0;202.0;189.0;215.0;17.0;8.0;12.0;26.0;23.0;25.0;44.0;46.0;44.0;74.0;48.0;32.0;46.0;46.0;26.0;32.0;54.0;58.0;61.0;64.0;61.0;10.0;8.0;9.0;4.0;12.0;7.0;12.0;
                Am鲩ca Latina y Caribe;4959.0;4943.0;5686.0;6324.0;7183.0;6935.0;8108.0;2546.0;2515.0;2887.0;3287.0;3814.0;3636.0;4322.0;903.0;942.0;1149.0;1225.0;1361.0;1237.0;1381.0;523.0;511.0;564.0;636.0;718.0;750.0;868.0;794.0;784.0;866.0;939.0;1054.0;1072.0;1244.0;193.0;191.0;220.0;237.0;236.0;240.0;293.0
                Norte de frica;1490.0;1682.0;1680.0;1914.0;2509.0;3062.0;2895.0;572.0;715.0;701.0;782.0;991.0;1131.0;1094.0;453.0;485.0;461.0;563.0;785.0;1129.0;1130.0;149.0;161.0;148.0;156.0;187.0;229.0;190.0;260.0;255.0;291.0;330.0;445.0;486.0;398.0;56.0;66.0;79.0;83.0;101.0;87.0;83.0
                Resto de frica;445.0;473.0;558.0;550.0;605.0;579.0;659.0;273.0;269.0;287.0;314.0;375.0;341.0;370.0;85.0;105.0;152.0;132.0;133.0;123.0;173.0;34.0;42.0;49.0;44.0;27.0;43.0;49.0;40.0;44.0;54.0;49.0;58.0;53.0;56.0;13.0;13.0;16.0;11.0;12.0;19.0;11.0
                Asia y Ocean_2054.0;2063.0;2321.0;2497.0;2733.0;2835.0;2601.0;1112.0;1047.0;1244.0;1231.0;1384.0;1350.0;1230.0;404.0;425.0;465.0;542.0;547.0;646.0;672.0;265.0;293.0;293.0;320.0;354.0;387.0;288.0;220.0;237.0;247.0;322.0;349.0;349.0;298.0;53.0;61.0;72.0;82.0;99.0;103.0;113.0;
            Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;158403.0;155326.0;150989.0;151707.0;152461.0;154783.0;149296.0;67414.0;66302.0;65370.0;63766.0;63990.0;65695.0;63000.0;46558.0;44787.0;43603.0;44556.0;44077.0;43692.0;43839.0;14952.0;15191.0;14276.0;14870.0;15945.0;15783.0;13768.0;18258.0;17907.0;17168.0;17621.0;17335.0;18212.0;18053.0;11221.0;11139.0;10572.0;10894.0;11114.0;11401.0;10636.0
