total2015-2016,total2016-2017,total2017-2018,total2018-2019,total2019-2020,total2020-2021,-2021-2022,sociales+jur2015-2016,sociales+jur2016-2017,sociales+jur2017-2018,sociales+jur2018-2019,sociales+jur2019-2020,sociales+jur2020-2021,-2021-2022,ing+arqui2015-2016,ing+arqui2016-2017,ing+arqui2017-2018,ing+arqui2018-2019,ing+arqui2019-2020,ing+arqui2020-2021,-2021-2022,arte+hum2015-2016,arte+hum2016-2017,arte+hum2017-2018,arte+hum2018-2019,arte+hum2019-2020,arte+hum2020-2021,-2021-2022,c.salud2015-2016,c.salud2016-2017,c.salud2017-2018,c.salud2018-2019,c.salud2019-2020,c.salud2020-2021,-2021-2022,ciencias2015-2016,ciencias2016-2017,ciencias2017-2018,ciencias2018-2019,ciencias2019-2020,ciencias2020-2021,-2021-2022,genero,universidad_tipo,formato
10132.0,9836.0,9637.0,9877.0,10183.0,10183.0,4756.0,4725.0,4809.0,4474.0,4811.0,4831.0,4742.0,1395.0,1335.0,1195.0,1298.0,1182.0,1244.0,1393.0,896.0,913.0,840.0,789.0,836.0,840.0,758.0,2255.0,2461.0,2299.0,2387.0,2350.0,2551.0,2665.0,650.0,698.0,693.0,689.0,698.0,717.0,625.0,-,ambos_sexos,ambas,ambos_formatos
4531.0,4200.0,4205.0,4098.0,4246.0,4282.0,2001.0,1992.0,1875.0,1845.0,1862.0,1877.0,1860.0,1086.0,1096.0,978.0,1059.0,949.0,985.0,1078.0,331.0,314.0,317.0,262.0,304.0,307.0,260.0,727.0,784.0,705.0,714.0,647.0,745.0,770.0,333.0,345.0,325.0,325.0,336.0,332.0,314.0,-,hombres,ambas,ambos_formatos
5601.0,5636.0,5432.0,5779.0,5937.0,5901.0,2755.0,2733.0,2934.0,2629.0,2949.0,2954.0,2882.0,309.0,239.0,217.0,239.0,233.0,259.0,315.0,565.0,599.0,523.0,527.0,532.0,533.0,498.0,1528.0,1677.0,1594.0,1673.0,1703.0,1806.0,1895.0,317.0,353.0,368.0,364.0,362.0,385.0,311.0,-,mujeres,ambas,ambos_formatos
10132.0,9836.0,9637.0,9877.0,10183.0,10183.0,4756.0,4725.0,4809.0,4474.0,4811.0,4831.0,4742.0,1395.0,1335.0,1195.0,1298.0,1182.0,1244.0,1393.0,896.0,913.0,840.0,789.0,836.0,840.0,758.0,2255.0,2461.0,2299.0,2387.0,2350.0,2551.0,2665.0,650.0,698.0,693.0,689.0,698.0,717.0,625.0,-,ambos_sexos,ambas,presencial
4531.0,4200.0,4205.0,4098.0,4246.0,4282.0,2001.0,1992.0,1875.0,1845.0,1862.0,1877.0,1860.0,1086.0,1096.0,978.0,1059.0,949.0,985.0,1078.0,331.0,314.0,317.0,262.0,304.0,307.0,260.0,727.0,784.0,705.0,714.0,647.0,745.0,770.0,333.0,345.0,325.0,325.0,336.0,332.0,314.0,-,hombres,ambas,presencial
5601.0,5636.0,5432.0,5779.0,5937.0,5901.0,2755.0,2733.0,2934.0,2629.0,2949.0,2954.0,2882.0,309.0,239.0,217.0,239.0,233.0,259.0,315.0,565.0,599.0,523.0,527.0,532.0,533.0,498.0,1528.0,1677.0,1594.0,1673.0,1703.0,1806.0,1895.0,317.0,353.0,368.0,364.0,362.0,385.0,311.0,-,mujeres,ambas,presencial
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,ambas,online
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,ambas,online
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,ambas,online
7421.0,7008.0,7034.0,6996.0,7170.0,6884.0,3426.0,3419.0,3306.0,3281.0,3294.0,3402.0,3249.0,1198.0,1133.0,1005.0,1078.0,1001.0,1049.0,1131.0,881.0,897.0,830.0,750.0,799.0,818.0,740.0,1275.0,1335.0,1259.0,1309.0,1272.0,1285.0,1195.0,625.0,637.0,608.0,616.0,630.0,616.0,569.0,-,ambos_sexos,publica,ambos_formatos
3320.0,3036.0,3067.0,2960.0,3017.0,2881.0,1403.0,1388.0,1274.0,1279.0,1258.0,1283.0,1187.0,921.0,928.0,819.0,879.0,796.0,821.0,866.0,327.0,311.0,313.0,252.0,293.0,303.0,252.0,370.0,376.0,337.0,359.0,305.0,322.0,283.0,325.0,317.0,293.0,298.0,308.0,288.0,293.0,-,hombres,publica,ambos_formatos
