facultad,grado,valor selectividad,año
Artes y Humanidades,Bellas Artes,8.994 ,2011-2012
Artes y Humanidades,Bellas Artes,6.904 ,2013-2014
Artes y Humanidades,Bellas Artes,6.434 ,2015-2016
Artes y Humanidades,Bellas Artes,5.15 ,2017-2018
Artes y Humanidades,Bellas Artes,5.05 ,2019-2020
Artes y Humanidades,Bellas Artes,6.3 ,2021-2022
Artes y Humanidades,Ciencia y  Tecnología  Geográfica,nan,2011-2012
Artes y Humanidades,Ciencia y  Tecnología  Geográfica,nan,2013-2014
Artes y Humanidades,Ciencia y  Tecnología  Geográfica,nan,2015-2016
Artes y Humanidades,Ciencia y  Tecnología  Geográfica,nan,2017-2018
Artes y Humanidades,Ciencia y  Tecnología  Geográfica,nan,2019-2020
Artes y Humanidades,Ciencia y  Tecnología  Geográfica,5.561 ,2021-2022
Artes y Humanidades,Estudios  Franceses,7.250 ,2011-2012
Artes y Humanidades,Estudios  Franceses,5.020 ,2013-2014
Artes y Humanidades,Estudios  Franceses,5.422 ,2015-2016
Artes y Humanidades,Estudios  Franceses,5.65 ,2017-2018
Artes y Humanidades,Estudios  Franceses,6.007 ,2019-2020
Artes y Humanidades,Estudios  Franceses,5.442 ,2021-2022
Artes y Humanidades,Estudios  Ingleses,6.759 ,2011-2012
Artes y Humanidades,Estudios  Ingleses,7.862 ,2013-2014
Artes y Humanidades,Estudios  Ingleses,7.279 ,2015-2016
Artes y Humanidades,Estudios  Ingleses,8.221 ,2017-2018
Artes y Humanidades,Estudios  Ingleses,6.868 ,2019-2020
Artes y Humanidades,Estudios  Ingleses,6.891 ,2021-2022
Artes y Humanidades,Filología  Clásica,6.590 ,2011-2012
Artes y Humanidades,Filología  Clásica,6.530 ,2013-2014
Artes y Humanidades,Filología  Clásica,5.356 ,2015-2016
Artes y Humanidades,Filología  Clásica,5.83 ,2017-2018
Artes y Humanidades,Filología  Clásica,9.366 ,2019-2020
Artes y Humanidades,Filología  Clásica,5.814 ,2021-2022
Artes y Humanidades,Filosofía,5.005 ,2011-2012
Artes y Humanidades,Filosofía,5.154 ,2013-2014
Artes y Humanidades,Filosofía,5.42 ,2015-2016
Artes y Humanidades,Filosofía,5.35 ,2017-2018
Artes y Humanidades,Filosofía,6.386 ,2019-2020
Artes y Humanidades,Filosofía,6.785 ,2021-2022
Artes y Humanidades,Geografía y  Ordenación del  Territorio,6.421 ,2011-2012
Artes y Humanidades,Geografía y  Ordenación del  Territorio,5.067 ,2013-2014
Artes y Humanidades,Geografía y  Ordenación del  Territorio,5.035 ,2015-2016
Artes y Humanidades,Geografía y  Ordenación del  Territorio,5.412 ,2017-2018
Artes y Humanidades,Geografía y  Ordenación del  Territorio,5.397 ,2019-2020
Artes y Humanidades,Geografía y  Ordenación del  Territorio,nan,2021-2022
Artes y Humanidades,Historia,8.464 ,2011-2012
Artes y Humanidades,Historia,5.053 ,2013-2014
Artes y Humanidades,Historia,5.255 ,2015-2016
Artes y Humanidades,Historia,6.669 ,2017-2018
Artes y Humanidades,Historia,5.5 ,2019-2020
Artes y Humanidades,Historia,5.516 ,2021-2022
Artes y Humanidades,Historia  del Arte,7.103 ,2011-2012
Artes y Humanidades,Historia  del Arte,5.067 ,2013-2014
Artes y Humanidades,Historia  del Arte,5.044 ,2015-2016
Artes y Humanidades,Historia  del Arte,5.288 ,2017-2018
Artes y Humanidades,Historia  del Arte,5.121 ,2019-2020
Artes y Humanidades,Historia  del Arte,5.051 ,2021-2022
Artes y Humanidades,Lengua y  Literatura  Española,7.913 ,2011-2012
Artes y Humanidades,Lengua y  Literatura  Española,5.070 ,2013-2014
Artes y Humanidades,Lengua y  Literatura  Española,5.496 ,2015-2016
Artes y Humanidades,Lengua y  Literatura  Española,5.956 ,2017-2018
Artes y Humanidades,Lengua y  Literatura  Española,5.44 ,2019-2020
Artes y Humanidades,Lengua y  Literatura  Española,7.195 ,2021-2022
Artes y Humanidades,Traducción e  Interpretación (F),6.310 ,2011-2012
Artes y Humanidades,Traducción e  Interpretación (F),9.830 ,2013-2014
Artes y Humanidades,Traducción e  Interpretación (F),7.89 ,2015-2016
Artes y Humanidades,Traducción e  Interpretación (F),11.03 ,2017-2018
Artes y Humanidades,Traducción e  Interpretación (F),9.78 ,2019-2020
Artes y Humanidades,Traducción e  Interpretación (F),7.175 ,2021-2022
Artes y Humanidades,Traducción e  Interpretación (I),6.310 ,2011-2012
Artes y Humanidades,Traducción e  Interpretación (I),11.830 ,2013-2014
Artes y Humanidades,Traducción e  Interpretación (I),11.399 ,2015-2016
Artes y Humanidades,Traducción e  Interpretación (I),11.953 ,2017-2018
Artes y Humanidades,Traducción e  Interpretación (I),11.216 ,2019-2020
Artes y Humanidades,Traducción e  Interpretación (I),11.986 ,2021-2022
Ingeniería y Arquitectura,Ciencia e Ingeniería de Datos,nan,2011-2012
Ingeniería y Arquitectura,Ciencia e Ingeniería de Datos,nan,2013-2014
Ingeniería y Arquitectura,Ciencia e Ingeniería de Datos,nan,2015-2016
Ingeniería y Arquitectura,Ciencia e Ingeniería de Datos,nan,2017-2018
Ingeniería y Arquitectura,Ciencia e Ingeniería de Datos,nan,2019-2020
Ingeniería y Arquitectura,Ciencia e Ingeniería de Datos,nan,2021-2022
Ingeniería y Arquitectura,Ingeniería Informática,5.242 ,2011-2012
Ingeniería y Arquitectura,Ingeniería Informática,5.260 ,2013-2014
Ingeniería y Arquitectura,Ingeniería Informática,11.353 ,2015-2016
Ingeniería y Arquitectura,Ingeniería Informática,7.706 ,2017-2018
Ingeniería y Arquitectura,Ingeniería Informática,8.166 ,2019-2020
Ingeniería y Arquitectura,Ingeniería Informática,9.788 ,2021-2022
Ingeniería y Arquitectura,Ingeniería química,5.437 ,2011-2012
Ingeniería y Arquitectura,Ingeniería química,5.900 ,2013-2014
Ingeniería y Arquitectura,Ingeniería química,8.421 ,2015-2016
Ingeniería y Arquitectura,Ingeniería química,5.564 ,2017-2018
Ingeniería y Arquitectura,Ingeniería química,8.113 ,2019-2020
Ingeniería y Arquitectura,Ingeniería química,8.814 ,2021-2022
Ingeniería y Arquitectura,PCEO Matemáticas e Ingeniería Informática,5.904 ,2011-2012
Ingeniería y Arquitectura,PCEO Matemáticas e Ingeniería Informática,6.086 ,2013-2014
Ingeniería y Arquitectura,PCEO Matemáticas e Ingeniería Informática,6.164 ,2015-2016
Ingeniería y Arquitectura,PCEO Matemáticas e Ingeniería Informática,10.706 ,2017-2018
Ingeniería y Arquitectura,PCEO Matemáticas e Ingeniería Informática,12.513 ,2019-2020
Ingeniería y Arquitectura,PCEO Matemáticas e Ingeniería Informática,13.46 ,2021-2022
Ciencias Sociales y Jurídicas,A.D.E.,5.460 ,2011-2012
Ciencias Sociales y Jurídicas,A.D.E.,5 ,2013-2014
Ciencias Sociales y Jurídicas,A.D.E.,5.046 ,2015-2016
Ciencias Sociales y Jurídicas,A.D.E.,5.126 ,2017-2018
Ciencias Sociales y Jurídicas,A.D.E.,6.066 ,2019-2020
Ciencias Sociales y Jurídicas,A.D.E.,5.414 ,2021-2022
Ciencias Sociales y Jurídicas,Ciencia Política y Gestión Publica,6.089 ,2011-2012
Ciencias Sociales y Jurídicas,Ciencia Política y Gestión Publica,5.125 ,2013-2014
Ciencias Sociales y Jurídicas,Ciencia Política y Gestión Publica,6.776 ,2015-2016
Ciencias Sociales y Jurídicas,Ciencia Política y Gestión Publica,6.47 ,2017-2018
Ciencias Sociales y Jurídicas,Ciencia Política y Gestión Publica,6.041 ,2019-2020
Ciencias Sociales y Jurídicas,Ciencia Política y Gestión Publica,nan,2021-2022
Ciencias Sociales y Jurídicas,Ciencias de la Actividad Física y del Deporte,8.811 ,2011-2012
Ciencias Sociales y Jurídicas,Ciencias de la Actividad Física y del Deporte,9.188 ,2013-2014
Ciencias Sociales y Jurídicas,Ciencias de la Actividad Física y del Deporte,9.081 ,2015-2016
Ciencias Sociales y Jurídicas,Ciencias de la Actividad Física y del Deporte,9.387 ,2017-2018
Ciencias Sociales y Jurídicas,Ciencias de la Actividad Física y del Deporte,7.782 ,2019-2020
Ciencias Sociales y Jurídicas,Ciencias de la Actividad Física y del Deporte,9.819 ,2021-2022
Ciencias Sociales y Jurídicas,"Ciencias Políticas, Gobierno y Administración Publica",nan,2011-2012
Ciencias Sociales y Jurídicas,"Ciencias Políticas, Gobierno y Administración Publica",nan,2013-2014
Ciencias Sociales y Jurídicas,"Ciencias Políticas, Gobierno y Administración Publica",nan,2015-2016
Ciencias Sociales y Jurídicas,"Ciencias Políticas, Gobierno y Administración Publica",nan,2017-2018
Ciencias Sociales y Jurídicas,"Ciencias Políticas, Gobierno y Administración Publica",nan,2019-2020
Ciencias Sociales y Jurídicas,"Ciencias Políticas, Gobierno y Administración Publica",5.651 ,2021-2022
Ciencias Sociales y Jurídicas,Comunicación Audiovisual,6.800 ,2011-2012
Ciencias Sociales y Jurídicas,Comunicación Audiovisual,7.816 ,2013-2014
Ciencias Sociales y Jurídicas,Comunicación Audiovisual,8.338 ,2015-2016
Ciencias Sociales y Jurídicas,Comunicación Audiovisual,8.646 ,2017-2018
Ciencias Sociales y Jurídicas,Comunicación Audiovisual,8.839 ,2019-2020
Ciencias Sociales y Jurídicas,Comunicación Audiovisual,8.035 ,2021-2022
Ciencias Sociales y Jurídicas,Criminología,8.163 ,2011-2012
Ciencias Sociales y Jurídicas,Criminología,9.349 ,2013-2014
Ciencias Sociales y Jurídicas,Criminología,8.754 ,2015-2016
Ciencias Sociales y Jurídicas,Criminología,9.054 ,2017-2018
Ciencias Sociales y Jurídicas,Criminología,9.819 ,2019-2020
